system time	LC	op	qsize	received from
19:20:11.744000	1	2	0	0
19:20:12.245000	2	0	0	1001
19:20:12.746000	3	7	0	0
19:20:13.247000	4	4	0	0
19:20:13.748000	6	0	0	1002
19:20:14.248000	7	0	0	1002
19:20:14.749000	17	0	0	1001
19:20:15.250000	18	6	0	0
19:20:15.751000	19	10	0	0
19:20:16.252000	27	0	0	1001
19:20:16.753000	28	9	0	0
19:20:17.254000	33	0	0	1001
19:20:17.755000	35	0	0	1001
19:20:18.256000	37	0	1	1001
19:20:18.757000	38	0	0	1001
19:20:19.257000	41	0	0	1002
19:20:19.759000	42	0	0	1002
19:20:20.260000	51	0	0	1001
19:20:20.761000	52	0	1	1001
19:20:21.261000	54	0	0	1001
19:20:21.762000	55	6	0	0
19:20:22.264000	61	0	1	1001
19:20:22.765000	62	0	0	1002
19:20:23.266000	67	0	1	1001
19:20:23.767000	69	0	0	1001
19:20:24.267000	74	0	0	1001
19:20:24.768000	76	0	0	1001
19:20:25.268000	80	0	0	1001
19:20:25.769000	81	4	0	0
19:20:26.270000	87	0	0	1001
19:20:26.771000	88	0	0	1001
19:20:27.273000	93	0	0	1001
19:20:27.774000	94	0	0	1001
19:20:28.276000	95	6	0	0
19:20:28.776000	96	2	0	0
19:20:29.277000	97	10	0	0
19:20:29.777000	98	10	0	0
19:20:30.278000	110	0	0	1001
19:20:30.779000	112	0	0	1001
19:20:31.280000	113	9	0	0
19:20:31.781000	114	9	0	0
19:20:32.282000	122	0	0	1001
19:20:32.783000	123	5	0	0
19:20:33.283000	128	0	0	1001
19:20:33.784000	132	0	0	1001
19:20:34.285000	135	0	0	1001
19:20:34.786000	136	2	0	0
19:20:35.287000	139	0	2	1001
19:20:35.788000	140	0	3	1001
19:20:36.289000	141	0	3	1001
19:20:36.790000	142	0	3	1001
19:20:37.292000	143	0	2	1001
19:20:37.793000	145	0	1	1001
19:20:38.294000	148	0	2	1001
19:20:38.796000	158	0	2	1001
19:20:39.298000	159	0	1	1001
19:20:39.799000	162	0	1	1001
19:20:40.299000	167	0	0	1001
19:20:40.801000	168	7	0	0
19:20:41.302000	169	5	0	0
19:20:41.803000	170	3	0	0
19:20:42.304000	183	0	0	1001
19:20:42.805000	185	0	0	1001
19:20:43.306000	188	0	0	1001
19:20:43.807000	189	4	0	0
19:20:44.308000	194	0	1	1001
19:20:44.809000	195	0	1	1001
19:20:45.310000	196	0	1	1001
19:20:45.811000	197	0	0	1002
19:20:46.312000	200	0	0	1002
19:20:46.813000	209	0	0	1001
19:20:47.314000	211	0	0	1001
19:20:47.815000	212	0	0	1002
19:20:48.315000	213	1	0	0
19:20:48.816000	214	8	0	0
19:20:49.318000	221	0	0	1002
19:20:49.819000	222	4	0	0
19:20:50.319000	223	4	0	0
19:20:50.820000	233	0	0	1001
19:20:51.321000	234	0	1	1002
19:20:51.823000	235	0	0	1002
19:20:52.323000	236	0	0	1002
19:20:52.825000	244	0	1	1001
19:20:53.325000	245	0	0	1001
19:20:53.826000	250	0	0	1001
19:20:54.326000	255	0	0	1001
19:20:54.827000	256	4	0	0
19:20:55.328000	257	10	0	0
19:20:55.829000	262	0	2	1001
19:20:56.330000	263	0	2	1001
19:20:56.830000	264	0	1	1001
19:20:57.331000	265	0	0	1002
19:20:57.831000	266	2	0	0
19:20:58.332000	279	0	0	1001
19:20:58.833000	281	0	0	1001
19:20:59.333000	283	0	0	1001
19:20:59.834000	284	5	0	0
19:21:00.335000	288	0	0	1002
19:21:00.837000	289	8	0	0
19:21:01.338000	290	0	0	1002
19:21:01.839000	291	8	0	0
19:21:02.340000	292	8	0	0
19:21:02.841000	302	0	0	1002
19:21:03.341000	303	0	0	1002
19:21:03.842000	311	0	0	1001
19:21:04.343000	313	0	1	1001
19:21:04.844000	314	0	2	1001
19:21:05.344000	316	0	2	1001
19:21:05.846000	318	0	3	1001
19:21:06.347000	320	0	3	1001
19:21:06.847000	323	0	2	1001
19:21:07.348000	324	0	4	1002
19:21:07.849000	326	0	5	1002
19:21:08.350000	331	0	4	1001
19:21:08.851000	332	0	4	1002
19:21:09.352000	333	0	4	1001
19:21:09.853000	334	0	3	1001
19:21:10.354000	335	0	3	1001
19:21:10.855000	340	0	2	1001
19:21:11.356000	345	0	2	1001
