system time	LC	op	qsize	received from
20:27:03.780000	1	21	0	0
20:27:04.281000	2	27	0	0
20:27:04.782000	3	18	0	0
20:27:05.283000	4	22	0	0
20:27:05.784000	5	50	0	0
20:27:06.285000	9	0	0	1002
20:27:06.786000	10	7	0	0
20:27:07.287000	12	0	1	1002
20:27:07.788000	21	0	0	1000
20:27:08.288000	22	33	0	0
20:27:08.789000	23	10	0	0
20:27:09.289000	33	0	0	1000
20:27:09.791000	34	17	0	0
20:27:10.292000	35	45	0	0
20:27:10.792000	36	41	0	0
20:27:11.293000	37	44	0	0
20:27:11.794000	38	50	0	0
20:27:12.295000	39	33	0	0
20:27:12.796000	40	19	0	0
20:27:13.297000	41	38	0	0
20:27:13.797000	42	31	0	0
20:27:14.298000	43	44	0	0
20:27:14.798000	44	16	0	0
20:27:15.300000	45	29	0	0
20:27:15.802000	46	43	0	0
20:27:16.302000	47	27	0	0
20:27:16.803000	48	32	0	0
20:27:17.303000	49	24	0	0
20:27:17.804000	50	37	0	0
20:27:18.306000	51	43	0	0
20:27:18.806000	52	27	0	0
20:27:19.306000	53	35	0	0
20:27:19.807000	54	5	0	0
20:27:20.307000	55	41	0	0
20:27:20.808000	56	37	0	0
20:27:21.308000	57	36	0	0
20:27:21.809000	58	31	0	0
20:27:22.310000	59	5	0	0
20:27:22.811000	60	4	0	0
20:27:23.312000	61	28	0	0
20:27:23.813000	62	34	0	0
20:27:24.314000	63	48	0	0
20:27:24.815000	64	48	0	0
20:27:25.315000	65	1	0	0
20:27:25.817000	66	28	0	0
20:27:26.317000	67	14	0	0
20:27:26.819000	137	0	0	1000
20:27:27.320000	138	26	0	0
20:27:27.821000	139	31	0	0
20:27:28.322000	140	27	0	0
20:27:28.824000	141	37	0	0
20:27:29.325000	153	0	0	1000
20:27:29.827000	155	0	0	1000
20:27:30.329000	156	0	0	1002
20:27:30.830000	157	19	0	0
20:27:31.331000	158	30	0	0
20:27:31.831000	159	6	0	0
20:27:32.332000	160	32	0	0
20:27:32.833000	161	18	0	0
20:27:33.334000	162	45	0	0
20:27:33.834000	163	46	0	0
20:27:34.335000	164	22	0	0
20:27:34.836000	165	16	0	0
20:27:35.337000	166	4	0	0
20:27:35.837000	167	28	0	0
20:27:36.339000	168	31	0	0
20:27:36.840000	179	0	0	1002
20:27:37.341000	180	43	0	0
20:27:37.842000	181	17	0	0
20:27:38.343000	182	47	0	0
20:27:38.845000	183	26	0	0
20:27:39.346000	210	0	0	1002
20:27:39.847000	211	47	0	0
20:27:40.348000	212	20	0	0
20:27:40.849000	213	17	0	0
20:27:41.350000	214	30	0	0
20:27:41.851000	215	28	0	0
20:27:42.353000	216	48	0	0
20:27:42.855000	233	0	0	1000
20:27:43.355000	234	35	0	0
20:27:43.857000	235	37	0	0
20:27:44.359000	236	21	0	0
20:27:44.860000	242	0	0	1002
20:27:45.361000	243	43	0	0
20:27:45.862000	244	1	0	0
20:27:46.363000	245	25	0	0
20:27:46.864000	246	19	0	0
20:27:47.366000	247	22	0	0
20:27:47.868000	248	31	0	0
20:27:48.368000	249	9	0	0
20:27:48.869000	250	8	0	0
20:27:49.370000	251	23	0	0
20:27:49.871000	252	31	0	0
20:27:50.373000	253	14	0	0
20:27:50.874000	254	32	0	0
20:27:51.374000	255	23	0	0
20:27:51.875000	256	4	0	0
20:27:52.376000	257	15	0	0
20:27:52.876000	258	14	0	0
20:27:53.377000	259	11	0	0
20:27:53.878000	260	8	0	0
20:27:54.380000	302	0	0	1000
20:27:54.881000	303	0	0	1002
20:27:55.382000	304	8	0	0
20:27:55.884000	305	32	0	0
20:27:56.384000	306	46	0	0
20:27:56.884000	307	39	0	0
20:27:57.385000	308	25	0	0
20:27:57.886000	325	0	0	1000
20:27:58.387000	326	3	0	0
20:27:58.889000	327	5	0	0
20:27:59.390000	328	44	0	0
20:27:59.891000	329	44	0	0
20:28:00.391000	330	16	0	0
20:28:00.892000	331	49	0	0
20:28:01.392000	345	0	0	1000
20:28:01.893000	346	1	1	0
20:28:02.394000	349	0	0	1000
20:28:02.895000	350	0	0	1002
20:28:03.396000	351	39	0	0
