system time	LC	op	qsize	received from
19:20:11.747000	1	0	0	1000
19:20:12.081000	2	0	0	1001
19:20:12.416000	3	8	0	0
19:20:12.750000	4	7	0	0
19:20:13.084000	5	5	0	0
19:20:13.418000	6	3	0	0
19:20:13.752000	7	1	0	0
19:20:14.087000	8	5	0	0
19:20:14.421000	9	6	0	0
19:20:14.755000	17	0	0	1001
19:20:15.089000	20	0	1	1001
19:20:15.423000	21	0	0	1001
19:20:15.757000	22	9	0	0
19:20:16.091000	23	4	0	0
19:20:16.425000	29	0	0	1001
19:20:16.759000	30	9	0	0
19:20:17.093000	31	10	0	0
19:20:17.428000	35	0	0	1001
19:20:17.762000	37	0	0	1001
19:20:18.096000	38	0	0	1001
19:20:18.430000	39	4	0	0
19:20:18.765000	40	7	0	0
19:20:19.099000	41	1	0	0
19:20:19.433000	42	3	0	0
19:20:19.767000	49	0	0	1001
19:20:20.101000	50	0	0	1001
19:20:20.434000	53	0	0	1001
19:20:20.769000	54	0	0	1001
19:20:21.103000	57	0	0	1001
19:20:21.436000	58	2	0	0
19:20:21.770000	59	3	0	0
19:20:22.104000	60	6	0	0
19:20:22.438000	65	0	0	1001
19:20:22.772000	67	0	0	1001
19:20:23.106000	68	0	0	1001
19:20:23.440000	69	4	0	0
19:20:23.774000	70	4	0	0
19:20:24.108000	71	4	0	0
19:20:24.442000	76	0	1	1001
19:20:24.776000	77	0	0	1001
19:20:25.110000	78	5	0	0
19:20:25.444000	79	6	0	0
19:20:25.778000	80	8	0	0
19:20:26.112000	86	0	1	1001
19:20:26.446000	87	0	0	1001
19:20:26.780000	88	7	0	0
19:20:27.114000	93	0	0	1001
19:20:27.448000	94	9	0	0
19:20:27.781000	95	7	0	0
19:20:28.115000	96	7	0	0
19:20:28.449000	97	4	0	0
19:20:28.783000	98	0	1	1000
19:20:29.117000	103	0	0	1001
19:20:29.450000	104	8	0	0
19:20:29.784000	105	4	0	0
19:20:30.119000	110	0	0	1001
19:20:30.452000	112	0	0	1001
19:20:30.786000	114	0	0	1001
19:20:31.121000	115	10	0	0
19:20:31.454000	116	10	0	0
19:20:31.788000	117	5	0	0
19:20:32.122000	118	2	0	0
19:20:32.457000	119	10	0	0
19:20:32.791000	120	4	0	0
19:20:33.125000	128	0	0	1001
19:20:33.458000	129	6	0	0
19:20:33.792000	132	0	0	1001
19:20:34.126000	133	0	0	1001
19:20:34.461000	134	4	0	0
19:20:34.796000	136	0	0	1000
19:20:35.130000	140	0	0	1001
19:20:35.464000	141	0	0	1001
19:20:35.798000	142	7	0	0
19:20:36.132000	143	8	0	0
19:20:36.466000	148	0	0	1001
19:20:36.800000	150	0	0	1001
19:20:37.134000	151	9	0	0
19:20:37.469000	152	6	0	0
19:20:37.803000	155	0	0	1001
19:20:38.137000	158	0	0	1001
19:20:38.471000	159	0	0	1001
19:20:38.805000	162	0	0	1001
19:20:39.140000	163	10	0	0
19:20:39.474000	164	6	0	0
19:20:39.808000	167	0	0	1001
19:20:40.142000	168	2	0	0
19:20:40.476000	169	2	0	0
19:20:40.810000	170	5	0	0
19:20:41.144000	175	0	1	1001
19:20:41.478000	176	0	0	1001
19:20:41.811000	177	0	0	1000
19:20:42.145000	178	6	0	0
19:20:42.479000	183	0	0	1001
19:20:42.812000	185	0	1	1001
19:20:43.146000	186	0	0	1001
