system time	LC	op	qsize	received from
19:20:11.746000	1	3	0	0
19:20:11.913000	2	4	0	0
19:20:12.079000	3	7	0	0
19:20:12.246000	4	6	0	0
19:20:12.413000	5	10	0	0
19:20:12.580000	6	6	0	0
19:20:12.748000	7	6	0	0
19:20:12.915000	8	4	0	0
19:20:13.083000	9	9	0	0
19:20:13.250000	10	10	0	0
19:20:13.417000	11	4	0	0
19:20:13.583000	12	0	0	1002
19:20:13.750000	13	10	0	0
19:20:13.917000	14	8	0	0
19:20:14.085000	15	10	0	0
19:20:14.252000	16	10	0	0
19:20:14.419000	17	3	0	0
19:20:14.587000	18	4	0	0
19:20:14.753000	19	5	0	0
19:20:14.919000	20	2	0	0
19:20:15.086000	21	2	0	0
19:20:15.254000	22	6	0	0
19:20:15.420000	23	9	0	0
19:20:15.586000	24	7	0	0
19:20:15.753000	25	8	0	0
19:20:15.920000	26	7	0	0
19:20:16.086000	27	1	0	0
19:20:16.254000	28	6	0	0
19:20:16.420000	29	2	0	0
19:20:16.587000	30	10	0	0
19:20:16.754000	31	9	0	0
19:20:16.921000	32	8	0	0
19:20:17.088000	33	1	0	0
19:20:17.255000	34	4	0	0
19:20:17.422000	35	3	0	0
19:20:17.589000	36	8	0	0
19:20:17.756000	37	3	0	0
19:20:17.923000	38	3	0	0
19:20:18.090000	39	6	0	0
19:20:18.257000	40	9	0	0
19:20:18.424000	41	9	0	0
19:20:18.590000	42	10	0	0
19:20:18.758000	43	9	0	0
19:20:18.925000	44	10	0	0
19:20:19.093000	45	8	0	0
19:20:19.259000	46	5	0	0
19:20:19.426000	47	8	0	0
19:20:19.592000	48	0	0	1002
19:20:19.760000	49	2	0	0
19:20:19.926000	50	2	0	0
19:20:20.093000	51	1	0	0
19:20:20.260000	52	1	0	0
19:20:20.427000	53	2	0	0
19:20:20.595000	54	3	0	0
19:20:20.762000	55	10	0	0
19:20:20.929000	56	10	0	0
19:20:21.097000	57	2	0	0
19:20:21.263000	58	6	0	0
19:20:21.431000	59	5	0	0
19:20:21.597000	60	0	0	1002
19:20:21.764000	61	1	0	0
19:20:21.931000	62	0	0	1002
19:20:22.098000	63	4	0	0
19:20:22.265000	64	8	0	0
19:20:22.432000	65	2	0	0
19:20:22.599000	66	8	0	0
19:20:22.766000	67	3	0	0
19:20:22.933000	68	2	0	0
19:20:23.099000	69	1	0	0
19:20:23.266000	70	8	0	0
19:20:23.433000	71	8	0	0
19:20:23.600000	72	7	0	0
19:20:23.767000	73	6	0	0
19:20:23.933000	74	1	0	0
19:20:24.100000	75	4	0	0
19:20:24.267000	76	3	0	0
19:20:24.435000	77	2	0	0
19:20:24.602000	78	9	0	0
19:20:24.769000	79	7	0	0
19:20:24.936000	80	1	0	0
19:20:25.102000	81	5	0	0
19:20:25.270000	82	6	0	0
19:20:25.437000	83	8	0	0
19:20:25.604000	84	10	0	0
19:20:25.771000	85	10	0	0
19:20:25.938000	86	2	0	0
19:20:26.106000	87	3	0	0
19:20:26.273000	88	1	0	0
19:20:26.441000	89	9	0	0
19:20:26.608000	90	6	0	0
19:20:26.775000	91	10	0	0
19:20:26.943000	92	5	0	0
19:20:27.110000	93	3	0	0
19:20:27.277000	94	1	0	0
19:20:27.444000	95	6	0	0
19:20:27.610000	96	4	0	0
19:20:27.777000	97	10	0	0
19:20:27.945000	98	7	0	0
19:20:28.111000	99	10	0	0
19:20:28.279000	100	5	0	0
19:20:28.446000	101	5	0	0
19:20:28.613000	102	5	0	0
19:20:28.781000	103	2	0	0
19:20:28.948000	104	6	0	0
19:20:29.115000	105	9	0	0
19:20:29.282000	106	7	0	0
19:20:29.448000	107	6	0	0
19:20:29.616000	108	4	0	0
19:20:29.783000	109	4	0	0
19:20:29.951000	110	3	0	0
19:20:30.119000	111	5	0	0
19:20:30.285000	112	3	0	0
19:20:30.452000	113	7	0	0
19:20:30.619000	114	2	0	0
19:20:30.787000	115	7	0	0
19:20:30.954000	116	8	0	0
19:20:31.121000	117	9	0	0
19:20:31.287000	118	6	0	0
19:20:31.454000	119	6	0	0
19:20:31.621000	120	5	0	0
19:20:31.788000	121	7	0	0
19:20:31.955000	122	1	0	0
19:20:32.121000	123	5	0	0
19:20:32.288000	124	0	0	1002
19:20:32.455000	125	10	0	0
19:20:32.622000	126	6	0	0
19:20:32.790000	127	7	0	0
19:20:32.956000	128	3	0	0
19:20:33.124000	129	8	0	0
19:20:33.291000	130	9	0	0
19:20:33.458000	131	9	0	0
19:20:33.626000	132	3	0	0
19:20:33.792000	133	2	0	0
19:20:33.959000	134	5	0	0
19:20:34.126000	135	1	0	0
19:20:34.293000	136	9	0	0
19:20:34.461000	137	4	0	0
19:20:34.628000	138	6	0	0
19:20:34.796000	139	1	0	0
19:20:34.963000	140	3	0	0
19:20:35.131000	141	3	0	0
19:20:35.297000	142	1	0	0
19:20:35.465000	143	1	0	0
19:20:35.631000	144	9	0	0
19:20:35.799000	145	1	0	0
19:20:35.966000	146	6	0	0
19:20:36.134000	147	10	0	0
19:20:36.301000	148	3	0	0
19:20:36.469000	149	6	0	0
19:20:36.636000	150	2	0	0
19:20:36.802000	151	6	0	0
19:20:36.970000	152	10	0	0
19:20:37.137000	153	4	0	0
19:20:37.304000	154	4	0	0
19:20:37.471000	155	2	0	0
19:20:37.638000	156	5	0	0
19:20:37.805000	157	10	0	0
19:20:37.973000	158	3	0	0
19:20:38.140000	159	3	0	0
19:20:38.307000	160	8	0	0
19:20:38.473000	161	7	0	0
19:20:38.640000	162	3	0	0
19:20:38.807000	163	8	0	0
19:20:38.974000	164	9	0	0
19:20:39.141000	165	6	0	0
19:20:39.308000	166	5	0	0
19:20:39.475000	167	3	0	0
19:20:39.643000	168	9	0	0
19:20:39.809000	169	4	0	0
19:20:39.977000	170	8	0	0
19:20:40.144000	171	0	0	1002
19:20:40.311000	172	7	0	0
19:20:40.478000	173	0	0	1002
19:20:40.645000	174	7	0	0
19:20:40.812000	175	2	0	0
19:20:40.979000	176	2	0	0
19:20:41.146000	177	6	0	0
19:20:41.316000	178	8	0	0
19:20:41.483000	179	4	0	0
19:20:41.650000	180	7	0	0
19:20:41.817000	181	0	0	1000
19:20:41.984000	182	6	0	0
19:20:42.152000	183	3	0	0
19:20:42.319000	184	10	0	0
19:20:42.487000	185	3	0	0
19:20:42.653000	186	2	0	0
19:20:42.820000	187	10	0	0
19:20:42.988000	188	1	0	0
19:20:43.154000	189	7	0	0
19:20:43.322000	190	5	0	0
19:20:43.489000	191	8	0	0
19:20:43.656000	192	8	0	0
19:20:43.823000	193	7	0	0
19:20:43.990000	194	3	0	0
19:20:44.156000	195	3	0	0
19:20:44.323000	196	1	0	0
19:20:44.491000	197	4	0	0
19:20:44.657000	198	6	0	0
19:20:44.824000	199	0	0	1002
19:20:44.992000	200	10	0	0
19:20:45.159000	201	4	0	0
19:20:45.327000	202	6	0	0
