system time	logical clock time	operation	queue size	received from
2016-03-12 00:32:09.274000	1	0	0	1027
2016-03-12 00:32:09.611000	2	5	0	0
2016-03-12 00:32:09.948000	3	3	0	0
2016-03-12 00:32:10.286000	6	0	0	1027
2016-03-12 00:32:10.623000	8	0	0	1026
2016-03-12 00:32:10.970000	9	9	0	0
2016-03-12 00:32:11.312000	10	0	0	1027
2016-03-12 00:32:11.650000	11	10	0	0
2016-03-12 00:32:11.988000	13	0	0	1027
2016-03-12 00:32:12.326000	18	0	1	1026
2016-03-12 00:32:12.664000	19	0	0	1027
2016-03-12 00:32:13.001000	23	0	0	1026
2016-03-12 00:32:13.340000	24	0	1	1027
2016-03-12 00:32:13.678000	25	0	0	1026
2016-03-12 00:32:14.015000	26	9	0	0
2016-03-12 00:32:14.353000	31	0	0	1026
2016-03-12 00:32:14.692000	32	6	0	0
2016-03-12 00:32:15.029000	35	0	0	1026
