system time	LC	op	qsize	received from
20:25:16.590000	1	4	0	0
20:25:16.925000	2	0	0	1002
20:25:17.259000	3	1	0	0
20:25:17.594000	5	0	0	1001
20:25:17.928000	7	0	1	1001
20:25:18.262000	8	0	2	1001
20:25:18.596000	10	0	2	1001
20:25:18.931000	11	0	3	1002
20:25:19.265000	12	0	3	1001
20:25:19.599000	13	0	3	1001
20:25:19.932000	14	0	4	1001
20:25:20.266000	15	0	3	1001
20:25:20.600000	18	0	3	1001
20:25:20.934000	19	0	4	1001
20:25:21.268000	20	0	4	1001
20:25:21.602000	23	0	3	1001
20:25:21.935000	25	0	4	1001
20:25:22.270000	26	0	4	1001
20:25:22.603000	27	0	5	1001
20:25:22.937000	31	0	6	1001
20:25:23.271000	32	0	7	1001
20:25:23.606000	33	0	7	1001
20:25:23.941000	35	0	8	1001
20:25:24.274000	36	0	9	1001
20:25:24.608000	37	0	8	1001
20:25:24.943000	39	0	9	1001
20:25:25.276000	40	0	9	1001
20:25:25.611000	41	0	9	1001
20:25:25.945000	43	0	9	1001
20:25:26.279000	44	0	8	1001
20:25:26.613000	45	0	8	1001
20:25:26.946000	46	0	8	1001
20:25:27.280000	47	0	9	1001
20:25:27.614000	50	0	8	1001
20:25:27.949000	51	0	9	1001
20:25:28.283000	53	0	9	1001
20:25:28.617000	54	0	9	1001
20:25:28.951000	56	0	9	1001
20:25:29.286000	60	0	10	1001
20:25:29.620000	63	0	9	1001
20:25:29.954000	64	0	9	1001
20:25:30.289000	65	0	9	1001
20:25:30.623000	68	0	10	1001
20:25:30.957000	69	0	11	1001
20:25:31.291000	70	0	11	1001
20:25:31.625000	72	0	12	1001
20:25:31.960000	75	0	12	1001
20:25:32.294000	76	0	13	1001
20:25:32.628000	77	0	12	1001
20:25:32.962000	81	0	12	1001
20:25:33.296000	82	0	13	1001
20:25:33.630000	84	0	13	1001
20:25:33.963000	85	0	13	1001
20:25:34.298000	86	0	12	1001
20:25:34.632000	87	0	11	1001
20:25:34.966000	89	0	10	1001
20:25:35.301000	90	0	10	1001
20:25:35.635000	91	0	11	1001
20:25:35.969000	92	0	11	1001
20:25:36.304000	94	0	11	1001
20:25:36.637000	95	0	12	1001
20:25:36.971000	98	0	12	1001
20:25:37.305000	100	0	11	1001
20:25:37.640000	101	0	11	1001
20:25:37.974000	102	0	11	1001
20:25:38.308000	105	0	12	1001
20:25:38.643000	112	0	11	1001
20:25:38.976000	114	0	11	1001
20:25:39.309000	115	0	11	1001
20:25:39.643000	117	0	11	1001
20:25:39.977000	119	0	11	1001
20:25:40.312000	120	0	10	1001
20:25:40.647000	121	0	10	1001
20:25:40.981000	122	0	9	1001
20:25:41.316000	126	0	10	1001
20:25:41.649000	128	0	9	1001
20:25:41.984000	130	0	10	1001
20:25:42.318000	131	0	10	1001
20:25:42.653000	134	0	10	1001
20:25:42.987000	137	0	10	1001
20:25:43.322000	138	0	11	1001
20:25:43.655000	140	0	10	1001
20:25:43.988000	145	0	10	1001
20:25:44.323000	148	0	11	1001
20:25:44.657000	149	0	11	1001
20:25:44.991000	152	0	10	1001
20:25:45.325000	153	0	10	1001
20:25:45.660000	154	0	9	1001
20:25:45.994000	157	0	10	1001
20:25:46.328000	159	0	10	1001
20:25:46.662000	160	0	10	1001
20:25:46.995000	161	0	11	1001
20:25:47.329000	164	0	11	1001
20:25:47.662000	166	0	11	1001
20:25:47.997000	167	0	11	1001
20:25:48.331000	169	0	11	1001
20:25:48.665000	173	0	11	1001
20:25:48.998000	176	0	12	1001
20:25:49.332000	177	0	13	1001
20:25:49.666000	178	0	12	1001
20:25:50.001000	180	0	12	1001
20:25:50.336000	182	0	12	1001
20:25:50.670000	183	0	13	1001
20:25:51.004000	185	0	13	1001
20:25:51.338000	187	0	13	1001
20:25:51.671000	189	0	12	1001
20:25:52.005000	190	0	12	1001
20:25:52.339000	192	0	13	1001
20:25:52.674000	194	0	12	1001
20:25:53.008000	195	0	13	1001
20:25:53.341000	196	0	12	1001
20:25:53.676000	197	0	12	1001
20:25:54.010000	201	0	11	1001
20:25:54.344000	202	0	12	1001
20:25:54.677000	204	0	13	1001
20:25:55.011000	205	0	12	1001
20:25:55.345000	207	0	11	1001
20:25:55.679000	208	0	10	1001
20:25:56.013000	213	0	10	1001
20:25:56.347000	214	0	10	1001
20:25:56.682000	215	0	10	1001
20:25:57.016000	218	0	10	1001
20:25:57.350000	219	0	9	1001
20:25:57.684000	223	0	9	1001
20:25:58.018000	226	0	10	1001
20:25:58.352000	227	0	9	1001
20:25:58.686000	228	0	9	1001
20:25:59.020000	229	0	9	1001
20:25:59.353000	236	0	8	1001
20:25:59.686000	238	0	9	1001
20:26:00.021000	240	0	8	1001
20:26:00.355000	242	0	8	1001
20:26:00.689000	247	0	9	1001
