system time	LC	op	qsize	received from
20:27:03.780000	1	17	0	0
20:27:04.114000	2	35	0	0
20:27:04.447000	3	35	0	0
20:27:04.781000	6	0	0	1000
20:27:05.116000	7	25	0	0
20:27:05.449000	8	29	0	0
20:27:05.783000	9	3	0	0
20:27:06.117000	10	29	0	0
20:27:06.451000	11	1	0	0
20:27:06.785000	12	3	0	0
20:27:07.119000	13	6	0	0
20:27:07.453000	14	43	0	0
20:27:07.787000	15	22	0	0
20:27:08.121000	16	24	0	0
20:27:08.455000	17	34	0	0
20:27:08.789000	18	36	0	0
20:27:09.122000	19	25	0	0
20:27:09.456000	20	15	0	0
20:27:09.790000	21	30	0	0
20:27:10.124000	22	49	0	0
20:27:10.459000	23	22	0	0
20:27:10.793000	24	19	0	0
20:27:11.126000	25	46	0	0
20:27:11.459000	26	49	0	0
20:27:11.792000	27	9	0	0
20:27:12.127000	28	14	0	0
20:27:12.460000	29	43	0	0
20:27:12.793000	30	13	0	0
20:27:13.126000	31	47	0	0
20:27:13.460000	32	38	0	0
20:27:13.793000	33	15	0	0
20:27:14.127000	62	0	0	1000
20:27:14.460000	63	13	0	0
20:27:14.794000	64	6	0	0
20:27:15.129000	65	42	0	0
20:27:15.462000	66	31	0	0
20:27:15.795000	67	4	0	0
20:27:16.129000	68	8	0	0
20:27:16.463000	69	30	0	0
20:27:16.798000	70	20	0	0
20:27:17.132000	71	48	0	0
20:27:17.466000	72	20	0	0
20:27:17.799000	73	17	0	0
20:27:18.133000	74	43	0	0
20:27:18.467000	75	14	0	0
20:27:18.801000	76	4	0	0
20:27:19.135000	77	23	0	0
20:27:19.469000	78	46	0	0
20:27:19.802000	79	41	0	0
20:27:20.136000	80	19	0	0
20:27:20.469000	81	33	0	0
20:27:20.803000	82	21	0	0
20:27:21.137000	83	16	0	0
20:27:21.470000	84	32	0	0
20:27:21.804000	85	34	0	0
20:27:22.139000	86	41	0	0
20:27:22.472000	87	37	0	0
20:27:22.807000	88	49	0	0
20:27:23.141000	89	22	0	0
20:27:23.475000	90	45	0	0
20:27:23.809000	91	7	0	0
20:27:24.144000	92	46	0	0
20:27:24.478000	93	30	0	0
20:27:24.812000	94	10	0	0
20:27:25.146000	95	50	0	0
20:27:25.480000	96	30	0	0
20:27:25.815000	97	31	0	0
20:27:26.149000	98	12	0	0
20:27:26.483000	99	16	0	0
20:27:26.817000	137	0	0	1000
20:27:27.151000	138	46	0	0
20:27:27.486000	139	27	0	0
20:27:27.821000	140	25	0	0
20:27:28.155000	141	23	0	0
20:27:28.489000	142	45	0	0
20:27:28.824000	143	15	0	0
20:27:29.158000	144	17	0	0
20:27:29.491000	153	0	0	1000
20:27:29.826000	155	0	0	1000
20:27:30.160000	156	2	0	0
20:27:30.494000	160	0	0	1000
20:27:30.829000	161	42	0	0
20:27:31.163000	162	34	0	0
20:27:31.497000	163	15	0	0
20:27:31.830000	164	35	0	0
20:27:32.164000	165	24	0	0
20:27:32.498000	166	5	0	0
20:27:32.832000	167	50	0	0
20:27:33.167000	168	5	0	0
20:27:33.501000	169	20	0	0
20:27:33.835000	170	15	0	0
20:27:34.169000	171	41	0	0
20:27:34.502000	172	34	0	0
20:27:34.836000	173	24	0	0
20:27:35.169000	174	31	0	0
20:27:35.503000	175	49	0	0
20:27:35.837000	176	41	0	0
20:27:36.171000	177	32	0	0
20:27:36.505000	178	32	0	0
20:27:36.838000	179	3	0	0
20:27:37.173000	180	33	0	0
20:27:37.507000	181	47	0	0
20:27:37.840000	182	7	0	0
20:27:38.174000	183	41	0	0
20:27:38.508000	184	12	0	0
20:27:38.842000	209	0	0	1000
20:27:39.176000	210	2	0	0
20:27:39.509000	211	45	0	0
20:27:39.843000	212	35	0	0
20:27:40.176000	213	13	0	0
20:27:40.511000	214	35	0	0
20:27:40.845000	215	37	0	0
20:27:41.179000	216	46	0	0
20:27:41.513000	217	8	0	0
20:27:41.847000	218	48	0	0
20:27:42.181000	219	12	0	0
20:27:42.515000	220	19	0	0
20:27:42.850000	233	0	0	1000
20:27:43.184000	234	39	0	0
20:27:43.517000	238	0	0	1000
20:27:43.851000	239	18	0	0
20:27:44.185000	240	50	0	0
20:27:44.519000	241	10	0	0
20:27:44.853000	242	3	0	0
20:27:45.186000	243	25	0	0
20:27:45.520000	244	1	0	0
20:27:45.854000	245	49	0	0
20:27:46.188000	246	24	0	0
20:27:46.522000	247	38	0	0
20:27:46.857000	248	48	0	0
20:27:47.191000	249	38	0	0
20:27:47.525000	250	9	0	0
20:27:47.859000	251	39	0	0
20:27:48.193000	252	5	0	0
20:27:48.526000	253	10	0	0
20:27:48.860000	254	20	0	0
20:27:49.194000	255	28	0	0
20:27:49.528000	256	17	0	0
20:27:49.862000	257	6	0	0
20:27:50.196000	258	48	0	0
20:27:50.530000	259	32	0	0
20:27:50.865000	260	50	0	0
20:27:51.199000	261	22	0	0
20:27:51.533000	262	39	0	0
20:27:51.867000	263	36	0	0
20:27:52.200000	264	48	0	0
20:27:52.534000	265	49	0	0
20:27:52.868000	266	29	0	0
20:27:53.201000	267	24	0	0
20:27:53.535000	268	18	0	0
20:27:53.869000	269	42	0	0
20:27:54.204000	270	30	0	0
20:27:54.538000	271	3	0	0
20:27:54.873000	272	5	0	0
20:27:55.206000	273	32	0	0
20:27:55.540000	274	12	0	0
20:27:55.874000	275	28	0	0
20:27:56.208000	276	41	0	0
20:27:56.542000	277	24	0	0
20:27:56.876000	317	0	0	1000
20:27:57.211000	318	13	0	0
20:27:57.545000	319	39	0	0
20:27:57.878000	320	20	0	0
20:27:58.211000	321	13	0	0
20:27:58.545000	326	0	0	1001
20:27:58.879000	327	11	0	0
20:27:59.212000	328	13	0	0
20:27:59.545000	329	32	0	0
20:27:59.878000	330	29	0	0
20:28:00.212000	331	24	0	0
20:28:00.545000	332	43	0	0
20:28:00.878000	333	39	0	0
20:28:01.212000	334	8	0	0
20:28:01.546000	345	0	0	1000
20:28:01.880000	346	41	0	0
20:28:02.213000	347	26	0	0
20:28:02.547000	348	3	0	0
20:28:02.881000	349	33	0	0
20:28:03.215000	350	27	0	0
20:28:03.549000	351	1	0	0
