system time	LC	op	qsize	received from
20:22:51.042000	1	3	0	0
20:22:51.243000	2	1	0	0
20:22:51.444000	3	4	0	0
20:22:51.645000	4	9	0	0
20:22:51.846000	5	0	1	1001
20:22:52.047000	6	0	0	1002
20:22:52.248000	7	5	0	0
20:22:52.449000	8	0	0	1002
20:22:52.650000	9	6	0	0
20:22:52.851000	10	6	0	0
20:22:53.053000	11	0	0	1001
20:22:53.255000	12	0	0	1001
20:22:53.457000	13	6	0	0
20:22:53.658000	14	4	0	0
20:22:53.859000	15	10	1	0
20:22:54.061000	16	0	0	1001
20:22:54.262000	17	4	0	0
20:22:54.463000	18	0	0	1001
20:22:54.663000	19	3	0	0
20:22:54.865000	20	10	0	0
20:22:55.066000	21	10	0	0
20:22:55.268000	22	1	0	0
20:22:55.469000	23	0	0	1002
20:22:55.670000	24	0	0	1002
20:22:55.871000	25	4	0	0
20:22:56.071000	26	2	0	0
20:22:56.272000	27	5	0	0
20:22:56.473000	28	10	0	0
20:22:56.674000	29	10	0	0
20:22:56.875000	30	2	0	0
20:22:57.075000	31	2	0	0
20:22:57.276000	32	5	0	0
20:22:57.477000	33	0	1	1002
20:22:57.679000	34	0	0	1001
20:22:57.879000	35	3	0	0
20:22:58.081000	36	10	0	0
20:22:58.282000	37	4	0	0
20:22:58.483000	38	0	0	1002
20:22:58.684000	39	10	0	0
20:22:58.886000	40	0	0	1001
20:22:59.088000	41	10	0	0
20:22:59.288000	42	3	0	0
20:22:59.489000	43	0	0	1001
20:22:59.690000	44	6	0	0
20:22:59.891000	45	7	0	0
20:23:00.092000	46	7	0	0
20:23:00.293000	47	1	0	0
20:23:00.494000	48	0	0	1001
20:23:00.695000	49	7	0	0
20:23:00.897000	50	9	0	0
20:23:01.099000	51	0	0	1002
20:23:01.300000	52	7	0	0
20:23:01.501000	53	8	0	0
20:23:01.702000	54	0	0	1001
20:23:01.903000	55	4	0	0
20:23:02.103000	56	1	0	0
20:23:02.304000	57	5	0	0
20:23:02.506000	58	1	0	0
20:23:02.707000	59	7	0	0
20:23:02.908000	60	2	0	0
20:23:03.108000	61	7	0	0
20:23:03.308000	62	1	0	0
20:23:03.510000	63	5	0	0
20:23:03.710000	64	0	0	1002
20:23:03.912000	65	9	0	0
