system time	LC	op	qsize	received from
19:08:16.674000	1	2	0	0
19:08:17.008000	2	2	0	0
19:08:17.343000	3	0	0	1001
19:08:17.677000	4	3	0	0
19:08:18.011000	5	4	0	0
19:08:18.345000	6	2	0	0
19:08:18.680000	7	6	0	0
19:08:19.013000	8	1	0	0
19:08:19.348000	9	8	0	0
19:08:19.682000	10	2	0	0
19:08:20.016000	14	0	0	1002
19:08:20.350000	15	5	0	0
19:08:20.684000	16	3	0	0
19:08:21.018000	18	0	0	1001
19:08:21.353000	19	0	0	1002
19:08:21.687000	20	8	0	0
19:08:22.022000	22	0	0	1001
19:08:22.356000	23	5	0	0
19:08:22.689000	24	5	0	0
19:08:23.023000	25	0	0	1002
19:08:23.357000	26	3	0	0
19:08:23.692000	27	5	0	0
19:08:24.026000	28	8	0	0
19:08:24.359000	31	0	0	1002
19:08:24.692000	32	0	0	1002
19:08:25.027000	33	0	0	1002
19:08:25.360000	34	9	0	0
19:08:25.694000	35	10	0	0
19:08:26.028000	38	0	0	1002
19:08:26.362000	39	6	0	0
19:08:26.697000	40	0	0	1002
19:08:27.031000	42	0	0	1002
19:08:27.366000	43	0	0	1001
19:08:27.699000	44	9	0	0
19:08:28.032000	46	0	0	1001
19:08:28.365000	47	3	0	0
19:08:28.700000	48	1	0	0
19:08:29.034000	49	4	0	0
19:08:29.368000	50	7	0	0
19:08:29.701000	51	1	0	0
19:08:30.035000	52	2	0	0
19:08:30.369000	53	5	0	0
19:08:30.703000	56	0	0	1002
19:08:31.037000	57	5	0	0
19:08:31.371000	58	7	0	0
19:08:31.706000	59	6	0	0
19:08:32.040000	61	0	0	1002
19:08:32.374000	62	5	0	0
19:08:32.708000	64	0	0	1001
19:08:33.042000	65	5	0	0
19:08:33.376000	66	1	0	0
19:08:33.710000	67	4	0	0
19:08:34.043000	69	0	0	1001
19:08:34.378000	70	6	0	0
19:08:34.712000	71	2	0	0
19:08:35.046000	73	0	0	1001
19:08:35.380000	74	2	0	0
19:08:35.714000	75	3	0	0
19:08:36.049000	78	0	0	1002
19:08:36.383000	79	8	0	0
19:08:36.717000	80	6	0	0
19:08:37.050000	81	0	0	1001
19:08:37.384000	83	0	0	1002
19:08:37.717000	84	0	0	1002
19:08:38.051000	85	0	0	1002
19:08:38.384000	86	6	0	0
19:08:38.717000	87	7	0	0
19:08:39.052000	90	0	0	1002
19:08:39.386000	91	0	0	1002
19:08:39.720000	92	4	0	0
19:08:40.054000	93	0	0	1002
19:08:40.388000	95	0	0	1002
19:08:40.722000	96	10	0	0
19:08:41.055000	98	0	1	1001
19:08:41.388000	99	0	1	1002
19:08:41.722000	100	0	0	1001
19:08:42.055000	102	0	0	1002
19:08:42.390000	103	5	0	0
19:08:42.725000	104	7	0	0
19:08:43.059000	105	2	0	0
19:08:43.392000	106	6	0	0
19:08:43.727000	108	0	0	1001
19:08:44.061000	109	7	0	0
19:08:44.395000	110	10	0	0
19:08:44.730000	112	0	1	1001
19:08:45.064000	113	0	0	1002
19:08:45.398000	114	8	0	0
19:08:45.732000	116	0	0	1001
19:08:46.066000	118	0	0	1001
19:08:46.400000	119	0	0	1001
19:08:46.734000	120	3	0	0
19:08:47.069000	122	0	0	1002
19:08:47.404000	123	0	0	1001
19:08:47.738000	124	0	0	1001
19:08:48.073000	125	4	0	0
19:08:48.407000	126	4	0	0
19:08:48.742000	127	6	0	0
19:08:49.076000	129	0	1	1001
19:08:49.410000	130	0	0	1001
19:08:49.744000	131	5	0	0
19:08:50.079000	133	0	1	1001
19:08:50.413000	134	0	0	1001
19:08:50.747000	135	8	0	0
19:08:51.081000	138	0	0	1001
19:08:51.415000	139	1	0	0
19:08:51.748000	140	0	0	1002
19:08:52.082000	142	0	0	1002
19:08:52.415000	143	3	0	0
19:08:52.749000	144	5	0	0
19:08:53.082000	146	0	0	1001
19:08:53.416000	147	7	0	0
19:08:53.750000	148	3	0	0
19:08:54.084000	150	0	0	1001
19:08:54.418000	151	0	0	1001
19:08:54.752000	152	10	0	0
19:08:55.086000	153	6	0	0
19:08:55.420000	154	9	0	0
19:08:55.754000	155	6	0	0
19:08:56.088000	156	1	1	0
19:08:56.422000	158	0	0	1002
19:08:56.756000	159	1	0	0
19:08:57.090000	161	0	0	1002
19:08:57.425000	163	0	0	1002
19:08:57.759000	164	9	0	0
19:08:58.093000	166	0	0	1001
19:08:58.426000	167	6	0	0
19:08:58.760000	168	0	0	1001
19:08:59.095000	169	2	0	0
19:08:59.429000	170	8	0	0
19:08:59.762000	172	0	1	1001
19:09:00.096000	173	0	0	1002
19:09:00.430000	175	0	0	1002
19:09:00.764000	176	7	0	0
19:09:01.098000	177	6	0	0
19:09:01.432000	179	0	0	1001
19:09:01.765000	180	4	0	0
19:09:02.098000	182	0	0	1001
19:09:02.433000	183	0	0	1002
19:09:02.767000	184	1	0	0
19:09:03.101000	185	1	0	0
19:09:03.435000	187	0	0	1002
19:09:03.769000	188	2	0	0
19:09:04.102000	189	0	0	1001
19:09:04.436000	190	5	0	0
19:09:04.770000	192	0	0	1001
19:09:05.104000	193	10	0	0
19:09:05.438000	194	0	0	1001
19:09:05.772000	195	8	0	0
19:09:06.106000	196	7	0	0
19:09:06.440000	198	0	0	1001
19:09:06.774000	199	1	0	0
19:09:07.108000	201	0	0	1002
19:09:07.442000	202	7	0	0
19:09:07.776000	203	9	0	0
19:09:08.109000	205	0	0	1001
19:09:08.443000	206	10	0	0
19:09:08.776000	207	1	0	0
19:09:09.110000	208	6	0	0
19:09:09.444000	209	3	0	0
19:09:09.777000	210	1	0	0
19:09:10.111000	213	0	0	1002
19:09:10.445000	214	0	0	1001
19:09:10.779000	215	5	0	0
19:09:11.113000	216	3	0	0
19:09:11.446000	217	1	0	0
19:09:11.781000	218	5	0	0
19:09:12.115000	221	0	1	1001
19:09:12.450000	222	0	1	1002
19:09:12.783000	223	0	0	1002
19:09:13.116000	224	10	0	0
19:09:13.450000	227	0	0	1002
19:09:13.784000	228	0	0	1002
19:09:14.119000	229	8	0	0
19:09:14.453000	230	0	0	1001
19:09:14.787000	232	0	0	1002
19:09:15.120000	233	4	0	0
19:09:15.455000	234	5	0	0
19:09:15.789000	236	0	0	1002
19:09:16.122000	237	7	0	0
19:09:16.457000	238	7	0	0
