system time	LC	op	qsize	received from
19:10:50.712000	1	5	0	0
19:10:51.212000	2	0	0	1000
19:10:51.714000	3	1	0	0
19:10:52.215000	4	4	0	0
19:10:52.716000	5	2	0	0
19:10:53.217000	6	8	0	0
19:10:53.718000	7	9	0	0
19:10:54.219000	8	5	0	0
19:10:54.719000	12	0	1	1000
19:10:55.220000	13	0	0	1001
19:10:55.721000	14	10	1	0
19:10:56.222000	16	0	0	1000
19:10:56.724000	19	0	0	1000
19:10:57.225000	20	1	0	0
19:10:57.726000	21	1	0	0
19:10:58.227000	22	10	0	0
19:10:58.729000	23	1	0	0
19:10:59.231000	24	2	0	0
19:10:59.732000	25	4	0	0
19:11:00.232000	26	2	0	0
19:11:00.733000	27	10	0	0
19:11:01.233000	28	7	0	0
19:11:01.734000	29	0	0	1001
19:11:02.235000	30	7	0	0
19:11:02.736000	31	0	1	1001
19:11:03.237000	37	0	0	1000
19:11:03.738000	38	1	0	0
19:11:04.239000	39	7	0	0
19:11:04.740000	42	0	0	1000
19:11:05.240000	43	2	0	0
19:11:05.741000	44	6	0	0
19:11:06.242000	45	4	0	0
19:11:06.743000	49	0	0	1000
19:11:07.244000	50	9	0	0
19:11:07.744000	51	3	0	0
19:11:08.245000	52	10	0	0
19:11:08.746000	53	10	0	0
19:11:09.248000	54	1	0	0
19:11:09.748000	55	5	0	0
19:11:10.249000	56	1	0	0
19:11:10.750000	57	1	0	0
19:11:11.251000	58	3	0	0
19:11:11.752000	59	1	0	0
19:11:12.254000	60	1	0	0
19:11:12.755000	61	5	0	0
19:11:13.256000	62	6	0	0
19:11:13.756000	70	0	0	1000
19:11:14.257000	71	0	0	1000
19:11:14.758000	72	9	0	0
19:11:15.259000	74	0	0	1000
19:11:15.759000	75	0	0	1000
19:11:16.260000	76	2	0	0
19:11:16.761000	77	2	0	0
19:11:17.262000	78	7	0	0
19:11:17.763000	79	1	0	0
19:11:18.264000	80	3	0	0
19:11:18.766000	81	5	0	0
19:11:19.267000	82	1	0	0
19:11:19.768000	83	9	0	0
19:11:20.269000	84	5	0	0
19:11:20.770000	90	0	0	1000
19:11:21.271000	91	2	0	0
19:11:21.772000	92	6	0	0
19:11:22.272000	93	9	0	0
19:11:22.774000	94	3	0	0
19:11:23.274000	95	9	0	0
19:11:23.775000	96	2	0	0
19:11:24.276000	97	5	0	0
19:11:24.777000	98	1	0	0
19:11:25.279000	99	2	0	0
19:11:25.780000	100	5	0	0
19:11:26.281000	101	4	0	0
19:11:26.782000	102	2	0	0
19:11:27.283000	110	0	0	1000
19:11:27.784000	111	4	0	0
19:11:28.286000	112	7	0	0
19:11:28.787000	115	0	0	1000
19:11:29.288000	116	0	0	1000
19:11:29.789000	117	5	0	0
19:11:30.291000	118	5	0	0
19:11:30.792000	119	3	0	0
19:11:31.293000	120	7	0	0
19:11:31.794000	121	9	0	0
19:11:32.296000	122	4	0	0
19:11:32.797000	123	8	0	0
19:11:33.299000	128	0	0	1000
19:11:33.801000	129	8	0	0
19:11:34.302000	130	10	0	0
19:11:34.804000	131	9	0	0
19:11:35.305000	132	6	0	0
19:11:35.806000	133	7	0	0
19:11:36.307000	134	9	0	0
19:11:36.808000	135	8	0	0
19:11:37.309000	136	1	0	0
19:11:37.810000	137	7	0	0
19:11:38.311000	138	4	0	0
19:11:38.812000	139	3	0	0
19:11:39.314000	140	4	0	0
19:11:39.815000	141	10	0	0
19:11:40.316000	142	5	0	0
19:11:40.817000	143	6	0	0
19:11:41.318000	152	0	0	1000
19:11:41.819000	154	0	0	1000
19:11:42.320000	155	8	0	0
19:11:42.821000	156	1	0	0
19:11:43.326000	157	1	0	0
19:11:43.827000	158	7	0	0
19:11:44.328000	159	9	0	0
19:11:44.829000	160	10	0	0
19:11:45.330000	161	3	0	0
19:11:45.831000	162	7	0	0
19:11:46.332000	167	0	0	1000
19:11:46.834000	168	0	0	1000
19:11:47.335000	169	9	0	0
19:11:47.836000	171	0	1	1000
19:11:48.337000	172	0	0	1000
19:11:48.838000	173	4	0	0
19:11:49.339000	174	8	0	0
19:11:49.841000	175	3	0	0
19:11:50.342000	176	3	0	0
