system time	LC	op	qsize	received from
18:26:16.648000	1	6	0	0
18:26:17.650000	2	8	0	0
18:26:18.651000	3	5	0	0
18:26:19.652000	13	0	3	1002
18:26:20.654000	14	0	3	1001
18:26:21.655000	16	0	2	1002
18:26:22.656000	17	0	2	1002
18:26:23.656000	21	0	4	1002
18:26:24.657000	31	0	3	1002
18:26:25.659000	38	0	3	1002
18:26:26.660000	41	0	3	1002
18:26:27.662000	42	0	4	1002
18:26:28.663000	45	0	3	1001
18:26:29.665000	48	0	2	1001
18:26:30.666000	63	0	1	1002
18:26:31.667000	66	0	1	1002
18:26:32.669000	71	0	1	1001
18:26:33.670000	95	0	2	1002
18:26:34.672000	96	0	2	1001
18:26:35.672000	102	0	3	1002
18:26:36.673000	108	0	2	1002
18:26:37.674000	112	0	2	1002
18:26:38.675000	113	0	2	1002
18:26:39.675000	122	0	2	1002
18:26:40.676000	124	0	2	1001
18:26:41.677000	137	0	3	1002
18:26:42.678000	144	0	4	1002
18:26:43.679000	146	0	4	1002
18:26:44.680000	147	0	4	1002
18:26:45.681000	148	0	4	1001
18:26:46.682000	155	0	4	1002
18:26:47.684000	158	0	3	1002
18:26:48.684000	159	0	3	1001
18:26:49.685000	173	0	4	1002
18:26:50.686000	179	0	3	1002
18:26:51.687000	192	0	3	1002
18:26:52.688000	194	0	4	1002
18:26:53.688000	195	0	6	1002
18:26:54.689000	207	0	6	1002
18:26:55.691000	212	0	5	1002
18:26:56.691000	213	0	7	1002
18:26:57.691000	220	0	10	1002
18:26:58.693000	221	0	10	1002
18:26:59.693000	222	0	12	1002
18:27:00.694000	224	0	12	1002
18:27:01.695000	238	0	12	1002
18:27:02.696000	239	0	12	1002
18:27:03.697000	240	0	12	1002
18:27:04.698000	241	0	11	1002
18:27:05.699000	242	0	12	1002
18:27:06.700000	245	0	14	1002
18:27:07.701000	246	0	16	1002
18:27:08.701000	248	0	16	1002
18:27:09.702000	253	0	16	1002
18:27:10.703000	256	0	17	1002
18:27:11.703000	257	0	18	1002
18:27:12.703000	262	0	19	1002
18:27:13.704000	263	0	19	1001
18:27:14.706000	264	0	19	1001
18:27:15.706000	277	0	18	1002
