system time	logical clock time	operation	queue size	received from
2016-03-12 02:56:52.864000	1	8	0	0
2016-03-12 02:56:53.199000	2	6	0	0
2016-03-12 02:56:53.536000	3	2	0	0
2016-03-12 02:56:53.873000	4	2	0	0
2016-03-12 02:56:54.206000	5	8	0	0
2016-03-12 02:56:54.540000	6	5	0	0
2016-03-12 02:56:54.874000	7	5	0	0
2016-03-12 02:56:55.207000	8	5	0	0
2016-03-12 02:56:55.541000	9	0	0	1025
2016-03-12 02:56:55.875000	10	7	0	0
2016-03-12 02:56:56.210000	11	3	0	0
2016-03-12 02:56:56.544000	12	8	0	0
2016-03-12 02:56:56.878000	13	7	0	0
2016-03-12 02:56:57.212000	14	0	0	1026
2016-03-12 02:56:57.547000	15	4	0	0
2016-03-12 02:56:57.881000	16	6	0	0
2016-03-12 02:56:58.214000	17	1	0	0
2016-03-12 02:56:58.548000	18	0	0	1026
2016-03-12 02:56:58.882000	19	9	0	0
2016-03-12 02:56:59.217000	20	5	0	0
2016-03-12 02:56:59.552000	21	8	0	0
