system time	LC	op	qsize	received from
19:10:50.712000	1	7	0	0
19:10:51.713000	2	0	0	1000
19:10:52.714000	3	8	0	0
19:10:53.715000	5	0	0	1002
19:10:54.716000	6	2	0	0
19:10:55.718000	7	6	0	0
19:10:56.719000	16	0	0	1000
19:10:57.720000	17	7	0	0
19:10:58.721000	18	9	0	0
19:10:59.722000	24	0	0	1002
19:11:00.723000	26	0	0	1002
19:11:01.724000	27	2	0	0
19:11:02.725000	28	2	0	0
19:11:03.727000	37	0	0	1000
19:11:04.728000	38	10	0	0
19:11:05.728000	44	0	1	1000
19:11:06.729000	45	0	0	1002
19:11:07.729000	46	5	0	0
19:11:08.729000	51	0	0	1002
19:11:09.731000	52	6	0	0
19:11:10.732000	53	7	0	0
19:11:11.733000	58	0	0	1002
19:11:12.734000	59	5	0	0
19:11:13.734000	67	0	0	1000
19:11:14.735000	70	0	1	1000
19:11:15.736000	72	0	1	1000
19:11:16.737000	74	0	1	1000
19:11:17.738000	76	0	1	1002
19:11:18.740000	77	0	1	1002
19:11:19.741000	80	0	0	1002
19:11:20.742000	90	0	0	1000
19:11:21.742000	91	0	1	1002
19:11:22.743000	93	0	0	1000
19:11:23.744000	94	0	0	1002
19:11:24.745000	96	0	1	1002
19:11:25.746000	102	0	2	1000
19:11:26.747000	103	0	3	1002
19:11:27.748000	105	0	4	1000
19:11:28.749000	106	0	3	1000
19:11:29.749000	107	0	3	1000
19:11:30.750000	109	0	2	1000
19:11:31.751000	110	0	2	1002
19:11:32.751000	115	0	1	1000
19:11:33.753000	119	0	1	1002
19:11:34.753000	127	0	0	1000
19:11:35.753000	133	0	0	1000
19:11:36.754000	134	1	0	0
19:11:37.755000	135	7	0	0
19:11:38.756000	136	5	0	0
19:11:39.757000	139	0	0	1002
19:11:40.758000	140	10	0	0
19:11:41.759000	141	5	0	0
19:11:42.760000	156	0	0	1000
19:11:43.762000	157	5	0	0
19:11:44.763000	162	0	0	1000
19:11:45.764000	163	0	0	1002
19:11:46.764000	164	10	0	0
19:11:47.765000	171	0	0	1000
19:11:48.766000	172	0	1	1000
19:11:49.767000	174	0	0	1000
